1480714402 12228714496 0 {'kernel': 8030000000L, 'idle': 7466500000000L, 'user': 37160000000L, 'iowait': 40160000000L}
1480714404 12228640768 0 {'kernel': 8030000000L, 'idle': 7468500000000L, 'user': 37160000000L, 'iowait': 40160000000L}
1480714406 12228370432 0 {'kernel': 8030000000L, 'idle': 7470500000000L, 'user': 37160000000L, 'iowait': 40160000000L}
1480714408 12228370432 0 {'kernel': 8030000000L, 'idle': 7472500000000L, 'user': 37170000000L, 'iowait': 40160000000L}
1480714410 12228370432 0 {'kernel': 8030000000L, 'idle': 7474490000000L, 'user': 37170000000L, 'iowait': 40160000000L}
1480714412 12228370432 0 {'kernel': 8030000000L, 'idle': 7476490000000L, 'user': 37170000000L, 'iowait': 40160000000L}
1480714414 12228370432 0 {'kernel': 8030000000L, 'idle': 7478480000000L, 'user': 37180000000L, 'iowait': 40160000000L}
1480714416 12228116480 0 {'kernel': 8030000000L, 'idle': 7480480000000L, 'user': 37190000000L, 'iowait': 40160000000L}
1480714418 12228116480 0 {'kernel': 8030000000L, 'idle': 7482480000000L, 'user': 37210000000L, 'iowait': 40160000000L}
1480714420 12228132864 0 {'kernel': 8030000000L, 'idle': 7484480000000L, 'user': 37210000000L, 'iowait': 40160000000L}
1480714422 12228132864 0 {'kernel': 8030000000L, 'idle': 7486480000000L, 'user': 37210000000L, 'iowait': 40160000000L}
1480714424 12228132864 0 {'kernel': 8040000000L, 'idle': 7488470000000L, 'user': 37220000000L, 'iowait': 40160000000L}
1480714426 12148506624 1 {'kernel': 8050000000L, 'idle': 7490320000000L, 'user': 37360000000L, 'iowait': 40160000000L}
1480714428 12142727168 2 {'kernel': 8060000000L, 'idle': 7492280000000L, 'user': 37390000000L, 'iowait': 40160000000L}
1480714430 12075180032 2 {'kernel': 8070000000L, 'idle': 7494260000000L, 'user': 37410000000L, 'iowait': 40160000000L}
1480714432 12071747584 3 {'kernel': 8100000000L, 'idle': 7496330000000L, 'user': 37450000000L, 'iowait': 40160000000L}
1480714435 11991347200 3 {'kernel': 8120000000L, 'idle': 7498300000000L, 'user': 37450000000L, 'iowait': 40160000000L}
1480714437 11993411584 3 {'kernel': 8140000000L, 'idle': 7500280000000L, 'user': 37470000000L, 'iowait': 40160000000L}
1480714439 11993411584 3 {'kernel': 8140000000L, 'idle': 7502280000000L, 'user': 37480000000L, 'iowait': 40160000000L}
1480714441 11995078656 3 {'kernel': 8150000000L, 'idle': 7504260000000L, 'user': 37490000000L, 'iowait': 40160000000L}
1480714443 11995078656 3 {'kernel': 8160000000L, 'idle': 7506250000000L, 'user': 37490000000L, 'iowait': 40160000000L}
1480714445 11997016064 3 {'kernel': 8160000000L, 'idle': 7508220000000L, 'user': 37510000000L, 'iowait': 40160000000L}
1480714447 11996889088 3 {'kernel': 8160000000L, 'idle': 7510200000000L, 'user': 37510000000L, 'iowait': 40160000000L}
1480714449 11997872128 3 {'kernel': 8170000000L, 'idle': 7512180000000L, 'user': 37520000000L, 'iowait': 40160000000L}
