1480712115 14814494720 0 {'kernel': 3750000000L, 'idle': 5201790000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712117 14812413952 0 {'kernel': 3750000000L, 'idle': 5203790000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712119 14812413952 0 {'kernel': 3750000000L, 'idle': 5205780000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712121 14812413952 0 {'kernel': 3750000000L, 'idle': 5207780000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712123 14812413952 0 {'kernel': 3750000000L, 'idle': 5209780000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712125 14812413952 0 {'kernel': 3750000000L, 'idle': 5211780000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712127 14812413952 0 {'kernel': 3750000000L, 'idle': 5213780000000L, 'user': 23690000000L, 'iowait': 36690000000L}
1480712129 14812413952 0 {'kernel': 3750000000L, 'idle': 5215790000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712131 14812413952 0 {'kernel': 3750000000L, 'idle': 5217790000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712133 14812413952 0 {'kernel': 3750000000L, 'idle': 5219800000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712135 14812430336 0 {'kernel': 3750000000L, 'idle': 5221800000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712137 14813192192 0 {'kernel': 3750000000L, 'idle': 5223800000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712139 14813192192 0 {'kernel': 3750000000L, 'idle': 5225800000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712141 14813192192 0 {'kernel': 3750000000L, 'idle': 5227800000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712143 14813192192 0 {'kernel': 3750000000L, 'idle': 5229810000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712145 14813175808 0 {'kernel': 3750000000L, 'idle': 5231810000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712147 14813302784 0 {'kernel': 3750000000L, 'idle': 5233820000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712149 14813302784 0 {'kernel': 3750000000L, 'idle': 5235820000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712151 14813302784 0 {'kernel': 3750000000L, 'idle': 5237820000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712153 14813302784 0 {'kernel': 3750000000L, 'idle': 5239820000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712155 14813302784 0 {'kernel': 3750000000L, 'idle': 5241830000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712157 14813302784 0 {'kernel': 3750000000L, 'idle': 5243830000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712159 14813302784 0 {'kernel': 3750000000L, 'idle': 5245830000000L, 'user': 23700000000L, 'iowait': 36690000000L}
1480712161 14813302784 0 {'kernel': 3750000000L, 'idle': 5247830000000L, 'user': 23710000000L, 'iowait': 36690000000L}
1480712163 14813302784 0 {'kernel': 3750000000L, 'idle': 5249840000000L, 'user': 23710000000L, 'iowait': 36690000000L}
1480712165 14813302784 0 {'kernel': 3750000000L, 'idle': 5251840000000L, 'user': 23710000000L, 'iowait': 36690000000L}
1480712167 14808006656 0 {'kernel': 3760000000L, 'idle': 5253800000000L, 'user': 23710000000L, 'iowait': 36720000000L}
1480712169 14806978560 0 {'kernel': 3780000000L, 'idle': 5255680000000L, 'user': 23810000000L, 'iowait': 36720000000L}
1480712171 14807117824 0 {'kernel': 3800000000L, 'idle': 5257580000000L, 'user': 23830000000L, 'iowait': 36800000000L}
1480712173 14807244800 0 {'kernel': 3800000000L, 'idle': 5259560000000L, 'user': 23830000000L, 'iowait': 36820000000L}
1480712175 14807244800 0 {'kernel': 3800000000L, 'idle': 5261560000000L, 'user': 23830000000L, 'iowait': 36820000000L}
1480712177 14807244800 0 {'kernel': 3800000000L, 'idle': 5263560000000L, 'user': 23830000000L, 'iowait': 36820000000L}
1480712179 14807244800 0 {'kernel': 3800000000L, 'idle': 5265560000000L, 'user': 23830000000L, 'iowait': 36820000000L}
1480712181 14807244800 0 {'kernel': 3800000000L, 'idle': 5267560000000L, 'user': 23840000000L, 'iowait': 36820000000L}
1480712183 14806347776 0 {'kernel': 3820000000L, 'idle': 5269300000000L, 'user': 24070000000L, 'iowait': 36820000000L}
1480712185 14807109632 0 {'kernel': 3830000000L, 'idle': 5271200000000L, 'user': 24180000000L, 'iowait': 36820000000L}
1480712187 14807093248 0 {'kernel': 3830000000L, 'idle': 5273180000000L, 'user': 24180000000L, 'iowait': 36820000000L}
1480712189 14806966272 0 {'kernel': 3830000000L, 'idle': 5275180000000L, 'user': 24190000000L, 'iowait': 36820000000L}
1480712191 14807093248 0 {'kernel': 3830000000L, 'idle': 5277180000000L, 'user': 24190000000L, 'iowait': 36820000000L}
