1480343366 10089713664 0 {'kernel': 38130000000L, 'idle': 180044530000000L, 'user': 74340000000L, 'iowait': 49970000000L}
1480343368 10089459712 0 {'kernel': 38130000000L, 'idle': 180046520000000L, 'user': 74340000000L, 'iowait': 49980000000L}
1480343370 10089459712 0 {'kernel': 38130000000L, 'idle': 180048510000000L, 'user': 74340000000L, 'iowait': 49980000000L}
1480343372 10089459712 0 {'kernel': 38140000000L, 'idle': 180050500000000L, 'user': 74340000000L, 'iowait': 49990000000L}
1480343374 10089459712 0 {'kernel': 38140000000L, 'idle': 180052490000000L, 'user': 74340000000L, 'iowait': 50000000000L}
1480343376 10089459712 0 {'kernel': 38150000000L, 'idle': 180054490000000L, 'user': 74350000000L, 'iowait': 50000000000L}
1480343378 10089459712 0 {'kernel': 38150000000L, 'idle': 180056490000000L, 'user': 74350000000L, 'iowait': 50000000000L}
1480343380 10089459712 0 {'kernel': 38150000000L, 'idle': 180058490000000L, 'user': 74360000000L, 'iowait': 50000000000L}
1480343382 10089459712 0 {'kernel': 38150000000L, 'idle': 180060490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343384 10089586688 0 {'kernel': 38160000000L, 'idle': 180062490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343386 10089586688 0 {'kernel': 38160000000L, 'idle': 180064490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343388 10089713664 0 {'kernel': 38160000000L, 'idle': 180066490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343390 10089713664 0 {'kernel': 38160000000L, 'idle': 180068490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343392 10089713664 0 {'kernel': 38170000000L, 'idle': 180070490000000L, 'user': 74370000000L, 'iowait': 50000000000L}
1480343394 9999724544 1 {'kernel': 38170000000L, 'idle': 180072460000000L, 'user': 74390000000L, 'iowait': 50020000000L}
1480343396 9999122432 1 {'kernel': 38170000000L, 'idle': 180074450000000L, 'user': 74390000000L, 'iowait': 50020000000L}
1480343398 9999122432 1 {'kernel': 38170000000L, 'idle': 180076450000000L, 'user': 74390000000L, 'iowait': 50020000000L}
1480343400 9998995456 1 {'kernel': 38180000000L, 'idle': 180078440000000L, 'user': 74390000000L, 'iowait': 50020000000L}
1480343402 10000519168 1 {'kernel': 38180000000L, 'idle': 180080430000000L, 'user': 74400000000L, 'iowait': 50020000000L}
1480343404 10006011904 1 {'kernel': 38190000000L, 'idle': 180082430000000L, 'user': 74400000000L, 'iowait': 50020000000L}
1480343406 10009821184 1 {'kernel': 38190000000L, 'idle': 180084420000000L, 'user': 74400000000L, 'iowait': 50030000000L}
1480343408 10013757440 1 {'kernel': 38200000000L, 'idle': 180086420000000L, 'user': 74400000000L, 'iowait': 50030000000L}
1480343410 10014265344 1 {'kernel': 38200000000L, 'idle': 180088420000000L, 'user': 74400000000L, 'iowait': 50030000000L}
1480343412 10014265344 1 {'kernel': 38200000000L, 'idle': 180090420000000L, 'user': 74400000000L, 'iowait': 50030000000L}
1480343414 10014265344 1 {'kernel': 38210000000L, 'idle': 180092410000000L, 'user': 74400000000L, 'iowait': 50030000000L}
1480343416 10022391808 1 {'kernel': 38220000000L, 'idle': 180094400000000L, 'user': 74410000000L, 'iowait': 50030000000L}
1480343418 10022391808 1 {'kernel': 38220000000L, 'idle': 180096390000000L, 'user': 74410000000L, 'iowait': 50030000000L}
1480343420 10022391808 1 {'kernel': 38240000000L, 'idle': 180098360000000L, 'user': 74420000000L, 'iowait': 50030000000L}
1480343422 10022391808 1 {'kernel': 38240000000L, 'idle': 180100350000000L, 'user': 74440000000L, 'iowait': 50030000000L}
1480343424 10022391808 1 {'kernel': 38250000000L, 'idle': 180102350000000L, 'user': 74440000000L, 'iowait': 50030000000L}
1480343426 10022518784 1 {'kernel': 38250000000L, 'idle': 180104350000000L, 'user': 74450000000L, 'iowait': 50030000000L}
1480343428 10022518784 1 {'kernel': 38250000000L, 'idle': 180106340000000L, 'user': 74460000000L, 'iowait': 50030000000L}
1480343430 10022518784 1 {'kernel': 38260000000L, 'idle': 180108330000000L, 'user': 74470000000L, 'iowait': 50030000000L}
1480343432 9860841472 3 {'kernel': 38280000000L, 'idle': 180110020000000L, 'user': 74730000000L, 'iowait': 50030000000L}
1480343434 9777537024 4 {'kernel': 38300000000L, 'idle': 180111890000000L, 'user': 74840000000L, 'iowait': 50030000000L}
1480343436 9777410048 4 {'kernel': 38300000000L, 'idle': 180113880000000L, 'user': 74840000000L, 'iowait': 50040000000L}
1480343438 9777283072 4 {'kernel': 38300000000L, 'idle': 180115870000000L, 'user': 74840000000L, 'iowait': 50040000000L}
1480343440 9780785152 4 {'kernel': 38310000000L, 'idle': 180117860000000L, 'user': 74860000000L, 'iowait': 50040000000L}
1480343442 9788243968 4 {'kernel': 38320000000L, 'idle': 180119840000000L, 'user': 74860000000L, 'iowait': 50040000000L}
1480343444 9793761280 4 {'kernel': 38320000000L, 'idle': 180121840000000L, 'user': 74860000000L, 'iowait': 50040000000L}
1480343446 9805545472 4 {'kernel': 38330000000L, 'idle': 180123820000000L, 'user': 74870000000L, 'iowait': 50040000000L}
1480343448 9809403904 4 {'kernel': 38330000000L, 'idle': 180125810000000L, 'user': 74870000000L, 'iowait': 50050000000L}
1480343450 9813213184 4 {'kernel': 38340000000L, 'idle': 180127800000000L, 'user': 74870000000L, 'iowait': 50050000000L}
1480343452 9816715264 4 {'kernel': 38340000000L, 'idle': 180129780000000L, 'user': 74870000000L, 'iowait': 50060000000L}
1480343454 9820323840 4 {'kernel': 38350000000L, 'idle': 180131760000000L, 'user': 74880000000L, 'iowait': 50060000000L}
1480343456 9824489472 4 {'kernel': 38350000000L, 'idle': 180133750000000L, 'user': 74880000000L, 'iowait': 50070000000L}
1480343458 9795764224 4 {'kernel': 38380000000L, 'idle': 180135670000000L, 'user': 74900000000L, 'iowait': 50080000000L}
1480343460 9634349056 4 {'kernel': 38520000000L, 'idle': 180135720000000L, 'user': 76730000000L, 'iowait': 50080000000L}
1480343462 9531842560 4 {'kernel': 38540000000L, 'idle': 180135760000000L, 'user': 78670000000L, 'iowait': 50080000000L}
1480343464 9156259840 4 {'kernel': 38800000000L, 'idle': 180137080000000L, 'user': 79100000000L, 'iowait': 50080000000L}
1480343466 8469532672 4 {'kernel': 39160000000L, 'idle': 180138380000000L, 'user': 79460000000L, 'iowait': 50080000000L}
1480343468 7791497216 4 {'kernel': 39570000000L, 'idle': 180139590000000L, 'user': 79870000000L, 'iowait': 50090000000L}
1480343470 7668846592 4 {'kernel': 39930000000L, 'idle': 180140500000000L, 'user': 80570000000L, 'iowait': 50090000000L}
1480343472 7664144384 4 {'kernel': 40190000000L, 'idle': 180141700000000L, 'user': 81100000000L, 'iowait': 50090000000L}
1480343474 7663636480 4 {'kernel': 40580000000L, 'idle': 180142870000000L, 'user': 81530000000L, 'iowait': 50090000000L}
1480343476 7672852480 4 {'kernel': 41030000000L, 'idle': 180144110000000L, 'user': 81870000000L, 'iowait': 50100000000L}
1480343478 7645323264 4 {'kernel': 41090000000L, 'idle': 180145630000000L, 'user': 82320000000L, 'iowait': 50100000000L}
1480343480 7645196288 4 {'kernel': 41160000000L, 'idle': 180146890000000L, 'user': 82990000000L, 'iowait': 50100000000L}
1480343482 7644942336 4 {'kernel': 41210000000L, 'idle': 180148260000000L, 'user': 83550000000L, 'iowait': 50100000000L}
1480343484 7644942336 4 {'kernel': 41230000000L, 'idle': 180149950000000L, 'user': 83800000000L, 'iowait': 50100000000L}
1480343486 7649320960 4 {'kernel': 41300000000L, 'idle': 180151120000000L, 'user': 84550000000L, 'iowait': 50100000000L}
1480343488 7641829376 4 {'kernel': 41320000000L, 'idle': 180152960000000L, 'user': 84690000000L, 'iowait': 50110000000L}
1480343490 7641829376 4 {'kernel': 41320000000L, 'idle': 180154940000000L, 'user': 84700000000L, 'iowait': 50110000000L}
1480343492 7641702400 4 {'kernel': 41330000000L, 'idle': 180156940000000L, 'user': 84700000000L, 'iowait': 50110000000L}
1480343494 7634128896 4 {'kernel': 41330000000L, 'idle': 180158920000000L, 'user': 84710000000L, 'iowait': 50110000000L}
1480343496 7562739712 4 {'kernel': 41450000000L, 'idle': 180160030000000L, 'user': 85460000000L, 'iowait': 50110000000L}
1480343498 7138275328 4 {'kernel': 41550000000L, 'idle': 180160130000000L, 'user': 87250000000L, 'iowait': 50110000000L}
1480343500 6632128512 4 {'kernel': 41570000000L, 'idle': 180160260000000L, 'user': 89110000000L, 'iowait': 50110000000L}
1480343502 6336978944 4 {'kernel': 41600000000L, 'idle': 180160300000000L, 'user': 91040000000L, 'iowait': 50110000000L}
1480343504 5447610368 4 {'kernel': 41940000000L, 'idle': 180160730000000L, 'user': 92230000000L, 'iowait': 50110000000L}
1480343506 3938754560 4 {'kernel': 42330000000L, 'idle': 180161110000000L, 'user': 93480000000L, 'iowait': 50110000000L}
1480343508 2398498816 4 {'kernel': 42730000000L, 'idle': 180161420000000L, 'user': 94770000000L, 'iowait': 50110000000L}
1480343510 1348280320 4 {'kernel': 43150000000L, 'idle': 180161820000000L, 'user': 95920000000L, 'iowait': 50110000000L}
1480343512 842366976 4 {'kernel': 43680000000L, 'idle': 180162260000000L, 'user': 97010000000L, 'iowait': 50110000000L}
1480343514 336764928 4 {'kernel': 44150000000L, 'idle': 180162690000000L, 'user': 98140000000L, 'iowait': 50110000000L}
1480343516 163872768 4 {'kernel': 44580000000L, 'idle': 180163120000000L, 'user': 99270000000L, 'iowait': 50110000000L}
1480343518 225132544 4 {'kernel': 44960000000L, 'idle': 180163540000000L, 'user': 100500000000L, 'iowait': 50110000000L}
1480343520 238268416 4 {'kernel': 45380000000L, 'idle': 180164000000000L, 'user': 101520000000L, 'iowait': 50200000000L}
1480343522 241192960 4 {'kernel': 45860000000L, 'idle': 180164840000000L, 'user': 102180000000L, 'iowait': 50220000000L}
1480343524 215203840 4 {'kernel': 46040000000L, 'idle': 180165500000000L, 'user': 103240000000L, 'iowait': 50340000000L}
1480343526 233959424 4 {'kernel': 46120000000L, 'idle': 180165790000000L, 'user': 104740000000L, 'iowait': 50460000000L}
1480343528 260055040 4 {'kernel': 46180000000L, 'idle': 180166100000000L, 'user': 106370000000L, 'iowait': 50500000000L}
1480343530 248053760 4 {'kernel': 46280000000L, 'idle': 180166560000000L, 'user': 107630000000L, 'iowait': 50680000000L}
1480343532 238718976 4 {'kernel': 46330000000L, 'idle': 180166880000000L, 'user': 109220000000L, 'iowait': 50700000000L}
1480343534 228433920 4 {'kernel': 46370000000L, 'idle': 180167140000000L, 'user': 110850000000L, 'iowait': 50770000000L}
1480343536 217767936 4 {'kernel': 46440000000L, 'idle': 180167630000000L, 'user': 112220000000L, 'iowait': 50800000000L}
1480343538 211800064 4 {'kernel': 46520000000L, 'idle': 180167860000000L, 'user': 113880000000L, 'iowait': 50800000000L}
1480343540 206467072 4 {'kernel': 46550000000L, 'idle': 180167920000000L, 'user': 115800000000L, 'iowait': 50800000000L}
1480343542 206340096 4 {'kernel': 46570000000L, 'idle': 180169660000000L, 'user': 116030000000L, 'iowait': 50800000000L}
1480343544 206340096 4 {'kernel': 46580000000L, 'idle': 180171640000000L, 'user': 116050000000L, 'iowait': 50800000000L}
1480343546 206229504 4 {'kernel': 46580000000L, 'idle': 180173590000000L, 'user': 116110000000L, 'iowait': 50800000000L}
1480343548 206118912 4 {'kernel': 46580000000L, 'idle': 180175570000000L, 'user': 116120000000L, 'iowait': 50800000000L}
1480343550 206118912 4 {'kernel': 46580000000L, 'idle': 180177540000000L, 'user': 116150000000L, 'iowait': 50800000000L}
1480343553 207724544 4 {'kernel': 46590000000L, 'idle': 180179520000000L, 'user': 116170000000L, 'iowait': 50800000000L}
1480343555 207740928 4 {'kernel': 46590000000L, 'idle': 180181520000000L, 'user': 116180000000L, 'iowait': 50800000000L}
1480343557 207613952 4 {'kernel': 46600000000L, 'idle': 180183500000000L, 'user': 116210000000L, 'iowait': 50800000000L}
1480343559 207613952 4 {'kernel': 46610000000L, 'idle': 180185490000000L, 'user': 116220000000L, 'iowait': 50800000000L}
1480343561 207613952 4 {'kernel': 46610000000L, 'idle': 180187480000000L, 'user': 116220000000L, 'iowait': 50800000000L}
1480343563 207454208 4 {'kernel': 46620000000L, 'idle': 180189450000000L, 'user': 116240000000L, 'iowait': 50800000000L}
1480343565 207310848 4 {'kernel': 46640000000L, 'idle': 180191380000000L, 'user': 116290000000L, 'iowait': 50800000000L}
1480343567 207183872 4 {'kernel': 46640000000L, 'idle': 180193350000000L, 'user': 116320000000L, 'iowait': 50800000000L}
1480343569 207056896 4 {'kernel': 46640000000L, 'idle': 180195330000000L, 'user': 116330000000L, 'iowait': 50800000000L}
1480343571 206929920 4 {'kernel': 46640000000L, 'idle': 180197300000000L, 'user': 116340000000L, 'iowait': 50800000000L}
1480343573 206802944 4 {'kernel': 46650000000L, 'idle': 180199280000000L, 'user': 116360000000L, 'iowait': 50800000000L}
1480343575 206675968 4 {'kernel': 46650000000L, 'idle': 180201280000000L, 'user': 116360000000L, 'iowait': 50800000000L}
1480343577 206675968 4 {'kernel': 46650000000L, 'idle': 180203280000000L, 'user': 116370000000L, 'iowait': 50800000000L}
