1480715898 4767645696 2 {'kernel': 24810000000L, 'idle': 6421080000000L, 'user': 127060000000L, 'iowait': 54860000000L}
1480715900 4759478272 2 {'kernel': 24810000000L, 'idle': 6423080000000L, 'user': 127070000000L, 'iowait': 54860000000L}
1480715902 4759859200 2 {'kernel': 24810000000L, 'idle': 6425050000000L, 'user': 127100000000L, 'iowait': 54860000000L}
1480715904 4760240128 2 {'kernel': 24810000000L, 'idle': 6427040000000L, 'user': 127100000000L, 'iowait': 54870000000L}
1480715906 4760240128 2 {'kernel': 24810000000L, 'idle': 6429040000000L, 'user': 127110000000L, 'iowait': 54870000000L}
1480715908 4760621056 2 {'kernel': 24810000000L, 'idle': 6431030000000L, 'user': 127110000000L, 'iowait': 54870000000L}
1480715910 4760350720 2 {'kernel': 24820000000L, 'idle': 6432960000000L, 'user': 127140000000L, 'iowait': 54880000000L}
1480715912 4760350720 2 {'kernel': 24820000000L, 'idle': 6434950000000L, 'user': 127140000000L, 'iowait': 54880000000L}
1480715914 4760604672 2 {'kernel': 24830000000L, 'idle': 6436920000000L, 'user': 127170000000L, 'iowait': 54890000000L}
1480715916 4760223744 2 {'kernel': 24830000000L, 'idle': 6438900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715918 4760223744 2 {'kernel': 24830000000L, 'idle': 6440900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715920 4760096768 2 {'kernel': 24830000000L, 'idle': 6442900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715922 4759969792 2 {'kernel': 24830000000L, 'idle': 6444900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715924 4759969792 2 {'kernel': 24830000000L, 'idle': 6446900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715926 4759986176 2 {'kernel': 24840000000L, 'idle': 6448900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715928 4759859200 2 {'kernel': 24840000000L, 'idle': 6450900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715930 4759859200 2 {'kernel': 24840000000L, 'idle': 6452900000000L, 'user': 127180000000L, 'iowait': 54890000000L}
1480715932 4759859200 2 {'kernel': 24840000000L, 'idle': 6454900000000L, 'user': 127190000000L, 'iowait': 54890000000L}
1480715934 4759859200 2 {'kernel': 24840000000L, 'idle': 6456900000000L, 'user': 127190000000L, 'iowait': 54890000000L}
1480715936 4759732224 2 {'kernel': 24840000000L, 'idle': 6458900000000L, 'user': 127190000000L, 'iowait': 54890000000L}
1480715938 4759732224 2 {'kernel': 24840000000L, 'idle': 6460900000000L, 'user': 127190000000L, 'iowait': 54890000000L}
1480715940 4759986176 2 {'kernel': 24850000000L, 'idle': 6462880000000L, 'user': 127210000000L, 'iowait': 54890000000L}
1480715942 4759986176 2 {'kernel': 24850000000L, 'idle': 6464870000000L, 'user': 127230000000L, 'iowait': 54890000000L}
1480715944 4759732224 2 {'kernel': 24860000000L, 'idle': 6466860000000L, 'user': 127250000000L, 'iowait': 54890000000L}
1480715946 4759732224 2 {'kernel': 24860000000L, 'idle': 6468850000000L, 'user': 127260000000L, 'iowait': 54890000000L}
1480715948 4724703232 3 {'kernel': 24870000000L, 'idle': 6470810000000L, 'user': 127290000000L, 'iowait': 54890000000L}
1480715950 4685266944 3 {'kernel': 25010000000L, 'idle': 6472370000000L, 'user': 127590000000L, 'iowait': 54900000000L}
1480715952 4524654592 6 {'kernel': 25170000000L, 'idle': 6473830000000L, 'user': 127920000000L, 'iowait': 54920000000L}
1480715954 4437291008 6 {'kernel': 25180000000L, 'idle': 6475800000000L, 'user': 127930000000L, 'iowait': 54920000000L}
1480715956 4437164032 6 {'kernel': 25180000000L, 'idle': 6477780000000L, 'user': 127930000000L, 'iowait': 54920000000L}
1480715958 4437164032 6 {'kernel': 25190000000L, 'idle': 6479770000000L, 'user': 127940000000L, 'iowait': 54930000000L}
1480715960 4438577152 6 {'kernel': 25200000000L, 'idle': 6481740000000L, 'user': 127940000000L, 'iowait': 54940000000L}
1480715962 4440608768 6 {'kernel': 25200000000L, 'idle': 6483700000000L, 'user': 127980000000L, 'iowait': 54940000000L}
1480715964 4439048192 7 {'kernel': 25220000000L, 'idle': 6485760000000L, 'user': 128000000000L, 'iowait': 54940000000L}
1480715966 4365668352 7 {'kernel': 25360000000L, 'idle': 6487300000000L, 'user': 128310000000L, 'iowait': 54940000000L}
1480715968 4365660160 7 {'kernel': 25360000000L, 'idle': 6489280000000L, 'user': 128320000000L, 'iowait': 54960000000L}
1480715970 4365627392 7 {'kernel': 25370000000L, 'idle': 6491250000000L, 'user': 128340000000L, 'iowait': 54960000000L}
1480715972 4372721664 7 {'kernel': 25370000000L, 'idle': 6493190000000L, 'user': 128380000000L, 'iowait': 54960000000L}
