1480715900 14033596416 0 {'kernel': 5560000000L, 'idle': 6708450000000L, 'user': 27460000000L, 'iowait': 38300000000L}
1480715902 14033469440 0 {'kernel': 5560000000L, 'idle': 6710440000000L, 'user': 27460000000L, 'iowait': 38300000000L}
1480715904 14033469440 0 {'kernel': 5560000000L, 'idle': 6712440000000L, 'user': 27460000000L, 'iowait': 38300000000L}
1480715906 14034358272 0 {'kernel': 5560000000L, 'idle': 6714440000000L, 'user': 27470000000L, 'iowait': 38300000000L}
1480715908 14034358272 0 {'kernel': 5570000000L, 'idle': 6716440000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715910 14034358272 0 {'kernel': 5570000000L, 'idle': 6718440000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715912 14034358272 0 {'kernel': 5570000000L, 'idle': 6720440000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715914 14034358272 0 {'kernel': 5570000000L, 'idle': 6722440000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715916 14034358272 0 {'kernel': 5570000000L, 'idle': 6724440000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715918 14034358272 0 {'kernel': 5570000000L, 'idle': 6726430000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715920 14034358272 0 {'kernel': 5580000000L, 'idle': 6728430000000L, 'user': 27480000000L, 'iowait': 38300000000L}
1480715922 14034358272 0 {'kernel': 5580000000L, 'idle': 6730420000000L, 'user': 27490000000L, 'iowait': 38300000000L}
1480715924 14034358272 0 {'kernel': 5580000000L, 'idle': 6732420000000L, 'user': 27490000000L, 'iowait': 38300000000L}
1480715926 14034358272 0 {'kernel': 5580000000L, 'idle': 6734410000000L, 'user': 27500000000L, 'iowait': 38300000000L}
1480715928 14034612224 0 {'kernel': 5580000000L, 'idle': 6736410000000L, 'user': 27500000000L, 'iowait': 38300000000L}
1480715930 14034612224 0 {'kernel': 5590000000L, 'idle': 6738400000000L, 'user': 27510000000L, 'iowait': 38300000000L}
1480715932 14034612224 0 {'kernel': 5600000000L, 'idle': 6740400000000L, 'user': 27510000000L, 'iowait': 38300000000L}
1480715934 14034522112 0 {'kernel': 5600000000L, 'idle': 6742390000000L, 'user': 27520000000L, 'iowait': 38300000000L}
1480715936 14034546688 0 {'kernel': 5600000000L, 'idle': 6744380000000L, 'user': 27520000000L, 'iowait': 38300000000L}
1480715938 14034546688 0 {'kernel': 5610000000L, 'idle': 6746380000000L, 'user': 27540000000L, 'iowait': 38300000000L}
1480715940 14034546688 0 {'kernel': 5610000000L, 'idle': 6748360000000L, 'user': 27560000000L, 'iowait': 38300000000L}
1480715942 14034673664 0 {'kernel': 5610000000L, 'idle': 6750360000000L, 'user': 27560000000L, 'iowait': 38300000000L}
1480715944 14033313792 0 {'kernel': 5610000000L, 'idle': 6752350000000L, 'user': 27560000000L, 'iowait': 38300000000L}
1480715946 14033338368 0 {'kernel': 5610000000L, 'idle': 6754340000000L, 'user': 27570000000L, 'iowait': 38300000000L}
1480715948 14033338368 0 {'kernel': 5610000000L, 'idle': 6756340000000L, 'user': 27580000000L, 'iowait': 38300000000L}
1480715950 14033338368 0 {'kernel': 5620000000L, 'idle': 6758330000000L, 'user': 27580000000L, 'iowait': 38300000000L}
1480715952 14025224192 1 {'kernel': 5630000000L, 'idle': 6760480000000L, 'user': 27580000000L, 'iowait': 38300000000L}
1480715954 13854150656 2 {'kernel': 5650000000L, 'idle': 6762360000000L, 'user': 27620000000L, 'iowait': 38340000000L}
1480715956 13761429504 3 {'kernel': 5660000000L, 'idle': 6764300000000L, 'user': 27660000000L, 'iowait': 38360000000L}
1480715958 13761302528 3 {'kernel': 5670000000L, 'idle': 6766300000000L, 'user': 27660000000L, 'iowait': 38360000000L}
1480715960 13761302528 3 {'kernel': 5670000000L, 'idle': 6768270000000L, 'user': 27690000000L, 'iowait': 38360000000L}
1480715962 13761175552 3 {'kernel': 5670000000L, 'idle': 6770250000000L, 'user': 27710000000L, 'iowait': 38360000000L}
1480715964 13764448256 3 {'kernel': 5680000000L, 'idle': 6772230000000L, 'user': 27710000000L, 'iowait': 38360000000L}
1480715966 13766557696 3 {'kernel': 5680000000L, 'idle': 6774210000000L, 'user': 27730000000L, 'iowait': 38360000000L}
1480715968 13687508992 4 {'kernel': 5690000000L, 'idle': 6776150000000L, 'user': 27770000000L, 'iowait': 38370000000L}
1480715970 13687382016 4 {'kernel': 5690000000L, 'idle': 6778140000000L, 'user': 27770000000L, 'iowait': 38380000000L}
1480715972 13687508992 4 {'kernel': 5700000000L, 'idle': 6780130000000L, 'user': 27780000000L, 'iowait': 38380000000L}
1480715974 13687508992 4 {'kernel': 5710000000L, 'idle': 6782120000000L, 'user': 27780000000L, 'iowait': 38380000000L}
1480715976 13689053184 4 {'kernel': 5710000000L, 'idle': 6784100000000L, 'user': 27780000000L, 'iowait': 38380000000L}
1480715978 13694914560 4 {'kernel': 5730000000L, 'idle': 6786070000000L, 'user': 27790000000L, 'iowait': 38380000000L}
