1480343368 9974173696 0 {'kernel': 26690000000L, 'idle': 3674100000000L, 'user': 198940000000L, 'iowait': 51100000000L}
1480343370 9965019136 0 {'kernel': 26700000000L, 'idle': 3676080000000L, 'user': 198960000000L, 'iowait': 51100000000L}
1480343372 9965146112 0 {'kernel': 26700000000L, 'idle': 3677970000000L, 'user': 199080000000L, 'iowait': 51100000000L}
1480343374 9966669824 0 {'kernel': 26710000000L, 'idle': 3679820000000L, 'user': 199200000000L, 'iowait': 51100000000L}
1480343376 9965854720 0 {'kernel': 26720000000L, 'idle': 3681740000000L, 'user': 199270000000L, 'iowait': 51100000000L}
1480343378 9965527040 0 {'kernel': 26730000000L, 'idle': 3683620000000L, 'user': 199390000000L, 'iowait': 51100000000L}
1480343380 9953779712 0 {'kernel': 26740000000L, 'idle': 3685360000000L, 'user': 199510000000L, 'iowait': 51200000000L}
1480343382 9954459648 0 {'kernel': 26760000000L, 'idle': 3687190000000L, 'user': 199650000000L, 'iowait': 51200000000L}
1480343384 9951522816 0 {'kernel': 26780000000L, 'idle': 3689040000000L, 'user': 199760000000L, 'iowait': 51200000000L}
1480343386 9955602432 0 {'kernel': 26780000000L, 'idle': 3691020000000L, 'user': 199770000000L, 'iowait': 51200000000L}
1480343388 9955475456 0 {'kernel': 26780000000L, 'idle': 3693000000000L, 'user': 199800000000L, 'iowait': 51200000000L}
1480343390 9954586624 0 {'kernel': 26800000000L, 'idle': 3694950000000L, 'user': 199830000000L, 'iowait': 51200000000L}
1480343392 9875877888 1 {'kernel': 26820000000L, 'idle': 3696760000000L, 'user': 200010000000L, 'iowait': 51200000000L}
1480343394 9796034560 3 {'kernel': 26950000000L, 'idle': 3698560000000L, 'user': 200150000000L, 'iowait': 51210000000L}
1480343396 9728712704 3 {'kernel': 26990000000L, 'idle': 3700300000000L, 'user': 200360000000L, 'iowait': 51220000000L}
1480343398 9727188992 3 {'kernel': 27000000000L, 'idle': 3702270000000L, 'user': 200380000000L, 'iowait': 51220000000L}
1480343400 9725554688 3 {'kernel': 27010000000L, 'idle': 3704220000000L, 'user': 200420000000L, 'iowait': 51220000000L}
1480343402 9668009984 4 {'kernel': 27040000000L, 'idle': 3706060000000L, 'user': 200530000000L, 'iowait': 51230000000L}
1480343404 9673072640 4 {'kernel': 27050000000L, 'idle': 3707900000000L, 'user': 200660000000L, 'iowait': 51230000000L}
1480343406 9675628544 4 {'kernel': 27060000000L, 'idle': 3709870000000L, 'user': 200670000000L, 'iowait': 51230000000L}
1480343408 9675628544 4 {'kernel': 27060000000L, 'idle': 3711800000000L, 'user': 200730000000L, 'iowait': 51230000000L}
1480343410 9673850880 4 {'kernel': 27070000000L, 'idle': 3713720000000L, 'user': 200790000000L, 'iowait': 51230000000L}
1480343412 9674375168 4 {'kernel': 27070000000L, 'idle': 3715530000000L, 'user': 200980000000L, 'iowait': 51230000000L}
1480343414 9676734464 4 {'kernel': 27080000000L, 'idle': 3717460000000L, 'user': 201030000000L, 'iowait': 51230000000L}
1480343416 9680519168 4 {'kernel': 27080000000L, 'idle': 3719380000000L, 'user': 201090000000L, 'iowait': 51230000000L}
1480343418 9683210240 4 {'kernel': 27100000000L, 'idle': 3721290000000L, 'user': 201150000000L, 'iowait': 51230000000L}
1480343420 9686691840 4 {'kernel': 27100000000L, 'idle': 3723010000000L, 'user': 201390000000L, 'iowait': 51230000000L}
1480343422 9688592384 4 {'kernel': 27120000000L, 'idle': 3724710000000L, 'user': 201660000000L, 'iowait': 51230000000L}
1480343424 9690628096 4 {'kernel': 27160000000L, 'idle': 3726500000000L, 'user': 201800000000L, 'iowait': 51240000000L}
1480343426 9693622272 4 {'kernel': 27170000000L, 'idle': 3728360000000L, 'user': 201900000000L, 'iowait': 51240000000L}
1480343428 9697431552 4 {'kernel': 27180000000L, 'idle': 3730320000000L, 'user': 201910000000L, 'iowait': 51240000000L}
1480343430 9695055872 5 {'kernel': 27210000000L, 'idle': 3732330000000L, 'user': 201950000000L, 'iowait': 51250000000L}
1480343433 9569685504 6 {'kernel': 27310000000L, 'idle': 3733820000000L, 'user': 202350000000L, 'iowait': 51250000000L}
1480343435 9548820480 6 {'kernel': 27310000000L, 'idle': 3735690000000L, 'user': 202370000000L, 'iowait': 51340000000L}
1480343437 9551540224 6 {'kernel': 27330000000L, 'idle': 3737560000000L, 'user': 202450000000L, 'iowait': 51340000000L}
1480343439 9556639744 6 {'kernel': 27360000000L, 'idle': 3739290000000L, 'user': 202550000000L, 'iowait': 51480000000L}
1480343441 9558851584 6 {'kernel': 27370000000L, 'idle': 3741200000000L, 'user': 202620000000L, 'iowait': 51480000000L}
1480343443 9565417472 6 {'kernel': 27380000000L, 'idle': 3743110000000L, 'user': 202700000000L, 'iowait': 51480000000L}
1480343445 9567064064 6 {'kernel': 27380000000L, 'idle': 3745060000000L, 'user': 202730000000L, 'iowait': 51490000000L}
1480343447 9567191040 6 {'kernel': 27390000000L, 'idle': 3746880000000L, 'user': 202870000000L, 'iowait': 51490000000L}
1480343449 9566302208 6 {'kernel': 27400000000L, 'idle': 3748660000000L, 'user': 203070000000L, 'iowait': 51490000000L}
1480343451 9565753344 6 {'kernel': 27400000000L, 'idle': 3750570000000L, 'user': 203160000000L, 'iowait': 51490000000L}
1480343453 9563541504 6 {'kernel': 27410000000L, 'idle': 3752530000000L, 'user': 203160000000L, 'iowait': 51500000000L}
1480343455 9563754496 6 {'kernel': 27430000000L, 'idle': 3754510000000L, 'user': 203170000000L, 'iowait': 51500000000L}
1480343457 9507987456 6 {'kernel': 27540000000L, 'idle': 3755730000000L, 'user': 203820000000L, 'iowait': 51510000000L}
1480343459 9171365888 6 {'kernel': 27840000000L, 'idle': 3755840000000L, 'user': 205380000000L, 'iowait': 51510000000L}
1480343461 8696995840 6 {'kernel': 27880000000L, 'idle': 3755840000000L, 'user': 207350000000L, 'iowait': 51510000000L}
1480343463 8386555904 7 {'kernel': 27900000000L, 'idle': 3755870000000L, 'user': 209300000000L, 'iowait': 51510000000L}
1480343465 7980134400 7 {'kernel': 28070000000L, 'idle': 3756010000000L, 'user': 210930000000L, 'iowait': 51510000000L}
1480343467 6792486912 7 {'kernel': 28380000000L, 'idle': 3756220000000L, 'user': 212390000000L, 'iowait': 51520000000L}
1480343469 5300654080 7 {'kernel': 28770000000L, 'idle': 3756330000000L, 'user': 213880000000L, 'iowait': 51520000000L}
1480343471 4122824704 7 {'kernel': 29050000000L, 'idle': 3756410000000L, 'user': 215550000000L, 'iowait': 51520000000L}
1480343473 3054825472 7 {'kernel': 29370000000L, 'idle': 3756520000000L, 'user': 217060000000L, 'iowait': 51520000000L}
1480343475 2339381248 7 {'kernel': 29690000000L, 'idle': 3756680000000L, 'user': 218580000000L, 'iowait': 51520000000L}
1480343477 2150621184 6 {'kernel': 30030000000L, 'idle': 3756730000000L, 'user': 220240000000L, 'iowait': 51520000000L}
1480343479 2143485952 6 {'kernel': 30360000000L, 'idle': 3756820000000L, 'user': 221840000000L, 'iowait': 51520000000L}
1480343481 2138468352 6 {'kernel': 30670000000L, 'idle': 3756940000000L, 'user': 223360000000L, 'iowait': 51520000000L}
1480343483 2133381120 6 {'kernel': 30930000000L, 'idle': 3757100000000L, 'user': 224910000000L, 'iowait': 51530000000L}
1480343485 2139660288 6 {'kernel': 31170000000L, 'idle': 3757140000000L, 'user': 226620000000L, 'iowait': 51530000000L}
1480343487 2136014848 6 {'kernel': 31370000000L, 'idle': 3757310000000L, 'user': 228240000000L, 'iowait': 51530000000L}
1480343489 2104242176 6 {'kernel': 31640000000L, 'idle': 3757500000000L, 'user': 229760000000L, 'iowait': 51540000000L}
1480343491 2168918016 5 {'kernel': 31840000000L, 'idle': 3757840000000L, 'user': 231220000000L, 'iowait': 51550000000L}
1480343493 2100105216 5 {'kernel': 31930000000L, 'idle': 3757920000000L, 'user': 233060000000L, 'iowait': 51560000000L}
1480343495 2091655168 5 {'kernel': 31980000000L, 'idle': 3757930000000L, 'user': 234990000000L, 'iowait': 51560000000L}
1480343497 4270682112 4 {'kernel': 32190000000L, 'idle': 3758080000000L, 'user': 236600000000L, 'iowait': 51560000000L}
1480343499 4207501312 4 {'kernel': 32600000000L, 'idle': 3758100000000L, 'user': 238170000000L, 'iowait': 51560000000L}
1480343501 4208508928 4 {'kernel': 32760000000L, 'idle': 3758120000000L, 'user': 239990000000L, 'iowait': 51560000000L}
1480343503 4172861440 4 {'kernel': 32930000000L, 'idle': 3758140000000L, 'user': 241800000000L, 'iowait': 51560000000L}
1480343505 4232716288 3 {'kernel': 33140000000L, 'idle': 3758190000000L, 'user': 243770000000L, 'iowait': 51560000000L}
1480343507 4241956864 3 {'kernel': 33220000000L, 'idle': 3758320000000L, 'user': 245540000000L, 'iowait': 51570000000L}
1480343509 4335763456 3 {'kernel': 33290000000L, 'idle': 3758560000000L, 'user': 247220000000L, 'iowait': 51570000000L}
1480343511 4314480640 3 {'kernel': 33380000000L, 'idle': 3759250000000L, 'user': 248420000000L, 'iowait': 51570000000L}
1480343513 6570565632 2 {'kernel': 33420000000L, 'idle': 3760460000000L, 'user': 249100000000L, 'iowait': 51580000000L}
1480343515 6581116928 2 {'kernel': 33450000000L, 'idle': 3761510000000L, 'user': 250030000000L, 'iowait': 51580000000L}
1480343517 6642913280 2 {'kernel': 33450000000L, 'idle': 3763410000000L, 'user': 250110000000L, 'iowait': 51580000000L}
1480343519 8878469120 1 {'kernel': 33480000000L, 'idle': 3765320000000L, 'user': 250160000000L, 'iowait': 51590000000L}
1480343521 8881491968 1 {'kernel': 33480000000L, 'idle': 3767220000000L, 'user': 250240000000L, 'iowait': 51590000000L}
1480343523 8792014848 2 {'kernel': 33510000000L, 'idle': 3769000000000L, 'user': 250410000000L, 'iowait': 51590000000L}
1480343525 8555520000 2 {'kernel': 33540000000L, 'idle': 3770830000000L, 'user': 250570000000L, 'iowait': 51590000000L}
1480343527 8395378688 2 {'kernel': 33560000000L, 'idle': 3772640000000L, 'user': 250730000000L, 'iowait': 51590000000L}
1480343529 8159518720 2 {'kernel': 33610000000L, 'idle': 3774430000000L, 'user': 250850000000L, 'iowait': 51630000000L}
1480343531 7921967104 2 {'kernel': 33640000000L, 'idle': 3776360000000L, 'user': 250900000000L, 'iowait': 51630000000L}
1480343533 7685058560 2 {'kernel': 33660000000L, 'idle': 3778220000000L, 'user': 250990000000L, 'iowait': 51640000000L}
1480343535 7445344256 2 {'kernel': 33680000000L, 'idle': 3779980000000L, 'user': 251200000000L, 'iowait': 51660000000L}
1480343537 7190126592 2 {'kernel': 33750000000L, 'idle': 3781680000000L, 'user': 251460000000L, 'iowait': 51670000000L}
1480343539 6961135616 2 {'kernel': 33790000000L, 'idle': 3783500000000L, 'user': 251520000000L, 'iowait': 51750000000L}
1480343541 6743764992 2 {'kernel': 33830000000L, 'idle': 3785410000000L, 'user': 251590000000L, 'iowait': 51750000000L}
1480343543 6500229120 2 {'kernel': 33850000000L, 'idle': 3787300000000L, 'user': 251660000000L, 'iowait': 51750000000L}
1480343545 6256943104 2 {'kernel': 33870000000L, 'idle': 3789260000000L, 'user': 251680000000L, 'iowait': 51750000000L}
1480343547 6011232256 2 {'kernel': 33870000000L, 'idle': 3791240000000L, 'user': 251690000000L, 'iowait': 51750000000L}
1480343549 5776101376 2 {'kernel': 33880000000L, 'idle': 3793220000000L, 'user': 251690000000L, 'iowait': 51750000000L}
1480343551 5539540992 2 {'kernel': 33890000000L, 'idle': 3795100000000L, 'user': 251710000000L, 'iowait': 51840000000L}
1480343553 5305856000 2 {'kernel': 33920000000L, 'idle': 3797020000000L, 'user': 251770000000L, 'iowait': 51840000000L}
1480343555 5067759616 2 {'kernel': 33950000000L, 'idle': 3798700000000L, 'user': 251900000000L, 'iowait': 51980000000L}
1480343557 4835655680 2 {'kernel': 34000000000L, 'idle': 3800560000000L, 'user': 252000000000L, 'iowait': 51980000000L}
1480343559 4588892160 2 {'kernel': 34030000000L, 'idle': 3802380000000L, 'user': 252150000000L, 'iowait': 51990000000L}
1480343561 4409151488 3 {'kernel': 34050000000L, 'idle': 3804300000000L, 'user': 252170000000L, 'iowait': 52000000000L}
1480343563 4172402688 3 {'kernel': 34090000000L, 'idle': 3806070000000L, 'user': 252380000000L, 'iowait': 52000000000L}
1480343565 3921174528 3 {'kernel': 34140000000L, 'idle': 3807900000000L, 'user': 252510000000L, 'iowait': 52020000000L}
1480343567 3665539072 3 {'kernel': 34190000000L, 'idle': 3809730000000L, 'user': 252600000000L, 'iowait': 52020000000L}
1480343569 3446206464 3 {'kernel': 34220000000L, 'idle': 3811640000000L, 'user': 252650000000L, 'iowait': 52030000000L}
1480343571 3202101248 3 {'kernel': 34250000000L, 'idle': 3813450000000L, 'user': 252740000000L, 'iowait': 52120000000L}
