1480343485 8194904064 3 {'kernel': 33020000000L, 'idle': 179117480000000L, 'user': 142740000000L, 'iowait': 80660000000L}
1480343487 7742042112 3 {'kernel': 33100000000L, 'idle': 179119290000000L, 'user': 142820000000L, 'iowait': 80700000000L}
1480343489 7296040960 3 {'kernel': 33180000000L, 'idle': 179121080000000L, 'user': 142920000000L, 'iowait': 80730000000L}
1480343491 6892584960 3 {'kernel': 33270000000L, 'idle': 179122760000000L, 'user': 143040000000L, 'iowait': 80810000000L}
1480343493 6336933888 3 {'kernel': 33640000000L, 'idle': 179123470000000L, 'user': 143960000000L, 'iowait': 80810000000L}
1480343495 5679001600 3 {'kernel': 34070000000L, 'idle': 179124530000000L, 'user': 144490000000L, 'iowait': 80810000000L}
1480343497 5017636864 3 {'kernel': 34460000000L, 'idle': 179125480000000L, 'user': 145160000000L, 'iowait': 80820000000L}
1480343499 4850130944 3 {'kernel': 34770000000L, 'idle': 179126750000000L, 'user': 145580000000L, 'iowait': 80820000000L}
1480343501 4822794240 3 {'kernel': 34840000000L, 'idle': 179128610000000L, 'user': 145690000000L, 'iowait': 80820000000L}
1480343503 4791083008 3 {'kernel': 34940000000L, 'idle': 179129780000000L, 'user': 146540000000L, 'iowait': 80820000000L}
1480343505 4789432320 3 {'kernel': 35060000000L, 'idle': 179131110000000L, 'user': 147260000000L, 'iowait': 80850000000L}
1480343507 4785606656 3 {'kernel': 35110000000L, 'idle': 179131950000000L, 'user': 148410000000L, 'iowait': 80850000000L}
1480343509 4745699328 3 {'kernel': 35240000000L, 'idle': 179132650000000L, 'user': 149550000000L, 'iowait': 80860000000L}
1480343511 4530454528 3 {'kernel': 35380000000L, 'idle': 179132890000000L, 'user': 151160000000L, 'iowait': 80860000000L}
1480343513 4273385472 3 {'kernel': 35440000000L, 'idle': 179133060000000L, 'user': 152930000000L, 'iowait': 80860000000L}
1480343515 3730894848 3 {'kernel': 35640000000L, 'idle': 179134000000000L, 'user': 153720000000L, 'iowait': 80880000000L}
1480343517 2764722176 3 {'kernel': 36020000000L, 'idle': 179134680000000L, 'user': 154650000000L, 'iowait': 80890000000L}
1480343519 1512218624 3 {'kernel': 36480000000L, 'idle': 179135240000000L, 'user': 155660000000L, 'iowait': 80890000000L}
1480343521 829997056 3 {'kernel': 36880000000L, 'idle': 179136040000000L, 'user': 156470000000L, 'iowait': 80890000000L}
1480343523 512049152 3 {'kernel': 37290000000L, 'idle': 179136550000000L, 'user': 157570000000L, 'iowait': 80890000000L}
1480343525 510652416 3 {'kernel': 37760000000L, 'idle': 179137110000000L, 'user': 158540000000L, 'iowait': 80890000000L}
1480343527 500269056 3 {'kernel': 38340000000L, 'idle': 179137550000000L, 'user': 159540000000L, 'iowait': 80900000000L}
1480343529 493031424 3 {'kernel': 38880000000L, 'idle': 179138380000000L, 'user': 160150000000L, 'iowait': 80900000000L}
1480343531 462483456 3 {'kernel': 39170000000L, 'idle': 179139330000000L, 'user': 160930000000L, 'iowait': 80900000000L}
1480343533 432832512 3 {'kernel': 39270000000L, 'idle': 179139980000000L, 'user': 162190000000L, 'iowait': 80900000000L}
1480343535 431562752 3 {'kernel': 39350000000L, 'idle': 179140540000000L, 'user': 163520000000L, 'iowait': 80900000000L}
1480343537 429400064 3 {'kernel': 39420000000L, 'idle': 179141520000000L, 'user': 164460000000L, 'iowait': 80920000000L}
1480343539 428994560 3 {'kernel': 39500000000L, 'idle': 179142240000000L, 'user': 165670000000L, 'iowait': 80920000000L}
1480343541 428961792 3 {'kernel': 39580000000L, 'idle': 179142720000000L, 'user': 167130000000L, 'iowait': 80920000000L}
1480343543 428961792 3 {'kernel': 39620000000L, 'idle': 179144160000000L, 'user': 167670000000L, 'iowait': 80920000000L}
1480343545 427630592 3 {'kernel': 39740000000L, 'idle': 179146000000000L, 'user': 167680000000L, 'iowait': 80920000000L}
1480343547 427634688 3 {'kernel': 39880000000L, 'idle': 179147860000000L, 'user': 167700000000L, 'iowait': 80920000000L}
1480343549 427311104 3 {'kernel': 40000000000L, 'idle': 179149730000000L, 'user': 167720000000L, 'iowait': 80920000000L}
1480343551 427102208 3 {'kernel': 40040000000L, 'idle': 179151660000000L, 'user': 167750000000L, 'iowait': 80920000000L}
1480343553 426541056 3 {'kernel': 40150000000L, 'idle': 179153540000000L, 'user': 167760000000L, 'iowait': 80920000000L}
1480343555 426434560 3 {'kernel': 40160000000L, 'idle': 179155520000000L, 'user': 167770000000L, 'iowait': 80920000000L}
1480343557 426364928 3 {'kernel': 40170000000L, 'idle': 179157500000000L, 'user': 167770000000L, 'iowait': 80920000000L}
1480343559 419586048 3 {'kernel': 40220000000L, 'idle': 179159270000000L, 'user': 167950000000L, 'iowait': 80920000000L}
1480343561 434036736 3 {'kernel': 40300000000L, 'idle': 179160810000000L, 'user': 168340000000L, 'iowait': 80920000000L}
1480343563 433975296 3 {'kernel': 40300000000L, 'idle': 179162800000000L, 'user': 168340000000L, 'iowait': 80920000000L}
1480343565 432996352 3 {'kernel': 40310000000L, 'idle': 179164780000000L, 'user': 168370000000L, 'iowait': 80920000000L}
1480343567 433364992 3 {'kernel': 40320000000L, 'idle': 179166740000000L, 'user': 168410000000L, 'iowait': 80920000000L}
1480343569 432361472 3 {'kernel': 40320000000L, 'idle': 179168730000000L, 'user': 168420000000L, 'iowait': 80920000000L}
1480343571 432193536 3 {'kernel': 40380000000L, 'idle': 179170660000000L, 'user': 168440000000L, 'iowait': 80920000000L}
1480343573 4824952832 2 {'kernel': 40480000000L, 'idle': 179172720000000L, 'user': 168450000000L, 'iowait': 80920000000L}
1480343575 4824809472 2 {'kernel': 40660000000L, 'idle': 179174510000000L, 'user': 168480000000L, 'iowait': 80920000000L}
1480343577 4824551424 2 {'kernel': 40680000000L, 'idle': 179176490000000L, 'user': 168480000000L, 'iowait': 80920000000L}
1480343579 4824129536 2 {'kernel': 40710000000L, 'idle': 179178460000000L, 'user': 168490000000L, 'iowait': 80920000000L}
1480343581 4823871488 2 {'kernel': 40780000000L, 'idle': 179180360000000L, 'user': 168500000000L, 'iowait': 80920000000L}
1480343583 4823220224 2 {'kernel': 40780000000L, 'idle': 179182350000000L, 'user': 168510000000L, 'iowait': 80920000000L}
1480343585 4823379968 2 {'kernel': 40880000000L, 'idle': 179184240000000L, 'user': 168520000000L, 'iowait': 80920000000L}
1480343587 4823597056 2 {'kernel': 40940000000L, 'idle': 179186180000000L, 'user': 168530000000L, 'iowait': 80920000000L}
1480343589 4826361856 2 {'kernel': 41040000000L, 'idle': 179188060000000L, 'user': 168540000000L, 'iowait': 80920000000L}
1480343591 4828389376 2 {'kernel': 41140000000L, 'idle': 179189950000000L, 'user': 168540000000L, 'iowait': 80920000000L}
1480343593 7073579008 1 {'kernel': 41190000000L, 'idle': 179191900000000L, 'user': 168560000000L, 'iowait': 80930000000L}
1480343595 7073140736 1 {'kernel': 41210000000L, 'idle': 179193880000000L, 'user': 168560000000L, 'iowait': 80930000000L}
1480343597 7073177600 1 {'kernel': 41210000000L, 'idle': 179195860000000L, 'user': 168570000000L, 'iowait': 80930000000L}
1480343599 7073017856 1 {'kernel': 41220000000L, 'idle': 179197850000000L, 'user': 168570000000L, 'iowait': 80930000000L}
1480343601 7072243712 1 {'kernel': 41220000000L, 'idle': 179199840000000L, 'user': 168570000000L, 'iowait': 80930000000L}
1480343603 7070646272 1 {'kernel': 41220000000L, 'idle': 179201820000000L, 'user': 168580000000L, 'iowait': 80930000000L}
1480343605 7070654464 1 {'kernel': 41220000000L, 'idle': 179203810000000L, 'user': 168590000000L, 'iowait': 80930000000L}
1480343607 7071293440 1 {'kernel': 41220000000L, 'idle': 179205760000000L, 'user': 168660000000L, 'iowait': 80930000000L}
1480343609 7061401600 1 {'kernel': 41250000000L, 'idle': 179207630000000L, 'user': 168720000000L, 'iowait': 80940000000L}
1480343611 9295568896 0 {'kernel': 41300000000L, 'idle': 179209520000000L, 'user': 168810000000L, 'iowait': 80940000000L}
1480343613 9297047552 0 {'kernel': 41300000000L, 'idle': 179211520000000L, 'user': 168810000000L, 'iowait': 80940000000L}
1480343615 9297735680 0 {'kernel': 41300000000L, 'idle': 179213520000000L, 'user': 168810000000L, 'iowait': 80940000000L}
1480343617 9297735680 0 {'kernel': 41300000000L, 'idle': 179215520000000L, 'user': 168810000000L, 'iowait': 80940000000L}
1480343619 9297608704 0 {'kernel': 41300000000L, 'idle': 179217520000000L, 'user': 168810000000L, 'iowait': 80940000000L}
1480343621 9297608704 0 {'kernel': 41300000000L, 'idle': 179219520000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343623 9297571840 0 {'kernel': 41300000000L, 'idle': 179221520000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343625 9297625088 0 {'kernel': 41300000000L, 'idle': 179223520000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343627 9306132480 0 {'kernel': 41300000000L, 'idle': 179225530000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343630 9306132480 0 {'kernel': 41300000000L, 'idle': 179227530000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343632 9306132480 0 {'kernel': 41300000000L, 'idle': 179229530000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343634 9305923584 0 {'kernel': 41300000000L, 'idle': 179231530000000L, 'user': 168820000000L, 'iowait': 80940000000L}
1480343636 9306386432 0 {'kernel': 41300000000L, 'idle': 179233520000000L, 'user': 168830000000L, 'iowait': 80940000000L}
1480343638 9306943488 0 {'kernel': 41300000000L, 'idle': 179235520000000L, 'user': 168830000000L, 'iowait': 80940000000L}
1480343640 9306943488 0 {'kernel': 41310000000L, 'idle': 179237510000000L, 'user': 168840000000L, 'iowait': 80940000000L}
1480343642 9306943488 0 {'kernel': 41310000000L, 'idle': 179239500000000L, 'user': 168840000000L, 'iowait': 80940000000L}
1480343644 9306730496 0 {'kernel': 41310000000L, 'idle': 179241500000000L, 'user': 168850000000L, 'iowait': 80940000000L}
1480343646 9307492352 0 {'kernel': 41310000000L, 'idle': 179243500000000L, 'user': 168850000000L, 'iowait': 80940000000L}
1480343648 9307197440 0 {'kernel': 41310000000L, 'idle': 179245510000000L, 'user': 168850000000L, 'iowait': 80940000000L}
1480343650 9306509312 0 {'kernel': 41310000000L, 'idle': 179247510000000L, 'user': 168850000000L, 'iowait': 80940000000L}
1480343652 9306697728 0 {'kernel': 41310000000L, 'idle': 179249510000000L, 'user': 168850000000L, 'iowait': 80940000000L}
1480343654 9306644480 0 {'kernel': 41310000000L, 'idle': 179251500000000L, 'user': 168860000000L, 'iowait': 80940000000L}
1480343656 9306697728 0 {'kernel': 41320000000L, 'idle': 179253490000000L, 'user': 168870000000L, 'iowait': 80940000000L}
1480343658 9306824704 0 {'kernel': 41320000000L, 'idle': 179255470000000L, 'user': 168880000000L, 'iowait': 80940000000L}
1480343660 9306697728 0 {'kernel': 41320000000L, 'idle': 179257460000000L, 'user': 168880000000L, 'iowait': 80940000000L}
1480343662 9306697728 0 {'kernel': 41320000000L, 'idle': 179259440000000L, 'user': 168900000000L, 'iowait': 80940000000L}
1480343664 9306591232 0 {'kernel': 41320000000L, 'idle': 179261440000000L, 'user': 168910000000L, 'iowait': 80940000000L}
1480343666 9306697728 0 {'kernel': 41320000000L, 'idle': 179263440000000L, 'user': 168910000000L, 'iowait': 80940000000L}
1480343668 9306697728 0 {'kernel': 41320000000L, 'idle': 179265430000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343670 9306570752 0 {'kernel': 41320000000L, 'idle': 179267430000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343672 9306570752 0 {'kernel': 41320000000L, 'idle': 179269420000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343674 9306644480 0 {'kernel': 41320000000L, 'idle': 179271420000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343676 9306824704 0 {'kernel': 41320000000L, 'idle': 179273420000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343678 9306824704 0 {'kernel': 41330000000L, 'idle': 179275420000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343680 9306644480 0 {'kernel': 41330000000L, 'idle': 179277420000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343682 9306697728 0 {'kernel': 41330000000L, 'idle': 179279410000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343684 9306443776 0 {'kernel': 41330000000L, 'idle': 179281410000000L, 'user': 168920000000L, 'iowait': 80940000000L}
1480343686 9306570752 0 {'kernel': 41330000000L, 'idle': 179283410000000L, 'user': 168930000000L, 'iowait': 80940000000L}
1480343688 9306570752 0 {'kernel': 41340000000L, 'idle': 179285410000000L, 'user': 168940000000L, 'iowait': 80940000000L}
1480343690 9306443776 0 {'kernel': 41340000000L, 'idle': 179287410000000L, 'user': 168950000000L, 'iowait': 80940000000L}
1480343692 9306570752 0 {'kernel': 41340000000L, 'idle': 179289410000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343694 9306464256 0 {'kernel': 41340000000L, 'idle': 179291410000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343696 9306697728 0 {'kernel': 41340000000L, 'idle': 179293410000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343698 9306824704 0 {'kernel': 41340000000L, 'idle': 179295410000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343700 9306697728 0 {'kernel': 41340000000L, 'idle': 179297410000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343702 9306697728 0 {'kernel': 41340000000L, 'idle': 179299400000000L, 'user': 168960000000L, 'iowait': 80940000000L}
1480343704 9307078656 0 {'kernel': 41340000000L, 'idle': 179301400000000L, 'user': 168980000000L, 'iowait': 80940000000L}
1480343706 9306951680 0 {'kernel': 41350000000L, 'idle': 179303390000000L, 'user': 168980000000L, 'iowait': 80940000000L}
1480343708 9307045888 0 {'kernel': 41350000000L, 'idle': 179305380000000L, 'user': 168990000000L, 'iowait': 80940000000L}
1480343710 9306918912 0 {'kernel': 41350000000L, 'idle': 179307370000000L, 'user': 169000000000L, 'iowait': 80940000000L}
1480343712 9306918912 0 {'kernel': 41350000000L, 'idle': 179309370000000L, 'user': 169000000000L, 'iowait': 80940000000L}
1480343714 9306521600 0 {'kernel': 41360000000L, 'idle': 179311350000000L, 'user': 169020000000L, 'iowait': 80940000000L}
1480343716 9306648576 0 {'kernel': 41360000000L, 'idle': 179313340000000L, 'user': 169020000000L, 'iowait': 80940000000L}
1480343718 9307283456 0 {'kernel': 41380000000L, 'idle': 179315290000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343720 9306902528 0 {'kernel': 41380000000L, 'idle': 179317290000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343722 9306775552 0 {'kernel': 41380000000L, 'idle': 179319290000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343724 9306849280 0 {'kernel': 41380000000L, 'idle': 179321290000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343726 9306648576 0 {'kernel': 41380000000L, 'idle': 179323300000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343728 9306648576 0 {'kernel': 41380000000L, 'idle': 179325300000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343730 9306284032 0 {'kernel': 41380000000L, 'idle': 179327300000000L, 'user': 169060000000L, 'iowait': 80950000000L}
1480343732 9306537984 0 {'kernel': 41380000000L, 'idle': 179329300000000L, 'user': 169070000000L, 'iowait': 80950000000L}
1480343734 9306304512 0 {'kernel': 41380000000L, 'idle': 179331300000000L, 'user': 169070000000L, 'iowait': 80950000000L}
1480343736 9306791936 0 {'kernel': 41380000000L, 'idle': 179333300000000L, 'user': 169070000000L, 'iowait': 80950000000L}
1480343738 9306791936 0 {'kernel': 41380000000L, 'idle': 179335300000000L, 'user': 169070000000L, 'iowait': 80950000000L}
1480343740 9306865664 0 {'kernel': 41380000000L, 'idle': 179337300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343742 9306918912 0 {'kernel': 41380000000L, 'idle': 179339300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343744 9306812416 0 {'kernel': 41380000000L, 'idle': 179341300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343746 9306918912 0 {'kernel': 41380000000L, 'idle': 179343300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343748 9307045888 0 {'kernel': 41380000000L, 'idle': 179345300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343750 9306918912 0 {'kernel': 41380000000L, 'idle': 179347300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343752 9306918912 0 {'kernel': 41390000000L, 'idle': 179349300000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343754 9306791936 0 {'kernel': 41390000000L, 'idle': 179351290000000L, 'user': 169080000000L, 'iowait': 80950000000L}
1480343756 9306918912 0 {'kernel': 41390000000L, 'idle': 179353290000000L, 'user': 169090000000L, 'iowait': 80950000000L}
1480343758 9307172864 0 {'kernel': 41390000000L, 'idle': 179355300000000L, 'user': 169090000000L, 'iowait': 80950000000L}
1480343760 9307299840 0 {'kernel': 41400000000L, 'idle': 179357290000000L, 'user': 169090000000L, 'iowait': 80950000000L}
1480343762 9307045888 0 {'kernel': 41400000000L, 'idle': 179359290000000L, 'user': 169100000000L, 'iowait': 80950000000L}
1480343764 9306992640 0 {'kernel': 41400000000L, 'idle': 179361290000000L, 'user': 169100000000L, 'iowait': 80950000000L}
1480343766 9307045888 0 {'kernel': 41400000000L, 'idle': 179363290000000L, 'user': 169100000000L, 'iowait': 80950000000L}
1480343768 9307172864 0 {'kernel': 41400000000L, 'idle': 179365290000000L, 'user': 169100000000L, 'iowait': 80950000000L}
1480343770 9307246592 0 {'kernel': 41400000000L, 'idle': 179367290000000L, 'user': 169100000000L, 'iowait': 80950000000L}
1480343772 9307299840 0 {'kernel': 41410000000L, 'idle': 179369280000000L, 'user': 169110000000L, 'iowait': 80950000000L}
1480343774 9307299840 0 {'kernel': 41410000000L, 'idle': 179371280000000L, 'user': 169110000000L, 'iowait': 80950000000L}
1480343776 9307807744 0 {'kernel': 41420000000L, 'idle': 179373270000000L, 'user': 169120000000L, 'iowait': 80950000000L}
1480343778 9307807744 0 {'kernel': 41420000000L, 'idle': 179375270000000L, 'user': 169120000000L, 'iowait': 80950000000L}
1480343780 9307119616 0 {'kernel': 41420000000L, 'idle': 179377270000000L, 'user': 169120000000L, 'iowait': 80950000000L}
1480343782 9307172864 0 {'kernel': 41420000000L, 'idle': 179379260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343784 9306992640 0 {'kernel': 41420000000L, 'idle': 179381260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343786 9306918912 0 {'kernel': 41420000000L, 'idle': 179383260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343788 9306927104 0 {'kernel': 41420000000L, 'idle': 179385260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343790 9306894336 0 {'kernel': 41420000000L, 'idle': 179387260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343792 9307054080 0 {'kernel': 41420000000L, 'idle': 179389260000000L, 'user': 169140000000L, 'iowait': 80950000000L}
1480343794 9306927104 0 {'kernel': 41420000000L, 'idle': 179391260000000L, 'user': 169150000000L, 'iowait': 80950000000L}
1480343796 9307054080 0 {'kernel': 41420000000L, 'idle': 179393260000000L, 'user': 169150000000L, 'iowait': 80950000000L}
1480343798 9307435008 0 {'kernel': 41420000000L, 'idle': 179395260000000L, 'user': 169150000000L, 'iowait': 80950000000L}
1480343800 9307054080 0 {'kernel': 41420000000L, 'idle': 179397260000000L, 'user': 169150000000L, 'iowait': 80950000000L}
1480343802 9307181056 0 {'kernel': 41420000000L, 'idle': 179399260000000L, 'user': 169150000000L, 'iowait': 80950000000L}
