1480718203 10020569088 0 {'kernel': 68530000000L, 'idle': 24442530000000L, 'user': 397140000000L, 'iowait': 127100000000L}
1480718205 10018680832 0 {'kernel': 68570000000L, 'idle': 24444460000000L, 'user': 397200000000L, 'iowait': 127100000000L}
1480718207 10017411072 0 {'kernel': 68580000000L, 'idle': 24446320000000L, 'user': 397330000000L, 'iowait': 127100000000L}
1480718209 10017300480 0 {'kernel': 68600000000L, 'idle': 24448080000000L, 'user': 397420000000L, 'iowait': 127230000000L}
1480718211 10016411648 0 {'kernel': 68620000000L, 'idle': 24449970000000L, 'user': 397480000000L, 'iowait': 127230000000L}
1480718213 10016538624 0 {'kernel': 68640000000L, 'idle': 24451900000000L, 'user': 397540000000L, 'iowait': 127230000000L}
1480718215 10019332096 0 {'kernel': 68670000000L, 'idle': 24453720000000L, 'user': 397670000000L, 'iowait': 127230000000L}
1480718217 10008436736 0 {'kernel': 68690000000L, 'idle': 24455620000000L, 'user': 397730000000L, 'iowait': 127230000000L}
1480718219 9997262848 0 {'kernel': 68700000000L, 'idle': 24457450000000L, 'user': 397910000000L, 'iowait': 127240000000L}
1480718221 9995030528 0 {'kernel': 68730000000L, 'idle': 24459250000000L, 'user': 398090000000L, 'iowait': 127240000000L}
1480718223 9993379840 0 {'kernel': 68750000000L, 'idle': 24461130000000L, 'user': 398180000000L, 'iowait': 127240000000L}
1480718225 9990316032 0 {'kernel': 68790000000L, 'idle': 24463020000000L, 'user': 398270000000L, 'iowait': 127240000000L}
1480718227 10018967552 0 {'kernel': 68810000000L, 'idle': 24464550000000L, 'user': 398680000000L, 'iowait': 127300000000L}
1480718229 10024980480 0 {'kernel': 68830000000L, 'idle': 24466360000000L, 'user': 398800000000L, 'iowait': 127310000000L}
1480718231 10022694912 0 {'kernel': 68830000000L, 'idle': 24468220000000L, 'user': 398920000000L, 'iowait': 127320000000L}
1480718233 10034249728 0 {'kernel': 68850000000L, 'idle': 24470020000000L, 'user': 399070000000L, 'iowait': 127320000000L}
1480718235 10031947776 0 {'kernel': 68870000000L, 'idle': 24471750000000L, 'user': 399310000000L, 'iowait': 127330000000L}
1480718237 10025074688 0 {'kernel': 68900000000L, 'idle': 24473480000000L, 'user': 399500000000L, 'iowait': 127370000000L}
1480718239 10024955904 0 {'kernel': 68920000000L, 'idle': 24475220000000L, 'user': 399730000000L, 'iowait': 127370000000L}
1480718241 10017861632 0 {'kernel': 68940000000L, 'idle': 24476870000000L, 'user': 400040000000L, 'iowait': 127370000000L}
1480718243 10019823616 0 {'kernel': 68950000000L, 'idle': 24478480000000L, 'user': 400390000000L, 'iowait': 127380000000L}
1480718245 10017734656 0 {'kernel': 68970000000L, 'idle': 24480120000000L, 'user': 400720000000L, 'iowait': 127380000000L}
1480718247 9995841536 0 {'kernel': 68990000000L, 'idle': 24481900000000L, 'user': 400900000000L, 'iowait': 127390000000L}
1480718249 9989926912 0 {'kernel': 69010000000L, 'idle': 24483790000000L, 'user': 400980000000L, 'iowait': 127390000000L}
1480718251 9989926912 0 {'kernel': 69030000000L, 'idle': 24485690000000L, 'user': 401050000000L, 'iowait': 127390000000L}
1480718253 10019561472 0 {'kernel': 69050000000L, 'idle': 24487570000000L, 'user': 401130000000L, 'iowait': 127390000000L}
1480718255 10019004416 0 {'kernel': 69070000000L, 'idle': 24489500000000L, 'user': 401190000000L, 'iowait': 127390000000L}
1480718257 10016337920 0 {'kernel': 69100000000L, 'idle': 24491410000000L, 'user': 401270000000L, 'iowait': 127390000000L}
1480718259 10022694912 0 {'kernel': 69110000000L, 'idle': 24493270000000L, 'user': 401400000000L, 'iowait': 127390000000L}
1480718261 10022187008 0 {'kernel': 69130000000L, 'idle': 24495170000000L, 'user': 401470000000L, 'iowait': 127390000000L}
1480718263 10014822400 0 {'kernel': 69140000000L, 'idle': 24497050000000L, 'user': 401540000000L, 'iowait': 127400000000L}
