1480718188 11267551232 0 {'kernel': 15890000000L, 'idle': 8897230000000L, 'user': 89340000000L, 'iowait': 61690000000L}
1480718190 11267153920 0 {'kernel': 15890000000L, 'idle': 8899220000000L, 'user': 89350000000L, 'iowait': 61690000000L}
1480718192 11267153920 0 {'kernel': 15890000000L, 'idle': 8901210000000L, 'user': 89360000000L, 'iowait': 61690000000L}
1480718194 11267153920 0 {'kernel': 15890000000L, 'idle': 8903210000000L, 'user': 89360000000L, 'iowait': 61690000000L}
1480718196 11267026944 0 {'kernel': 15890000000L, 'idle': 8905200000000L, 'user': 89360000000L, 'iowait': 61690000000L}
1480718198 11267026944 0 {'kernel': 15890000000L, 'idle': 8907200000000L, 'user': 89360000000L, 'iowait': 61690000000L}
1480718200 11267026944 0 {'kernel': 15890000000L, 'idle': 8909190000000L, 'user': 89380000000L, 'iowait': 61690000000L}
1480718202 11267026944 0 {'kernel': 15890000000L, 'idle': 8911180000000L, 'user': 89390000000L, 'iowait': 61690000000L}
1480718204 11267026944 0 {'kernel': 15900000000L, 'idle': 8913170000000L, 'user': 89400000000L, 'iowait': 61690000000L}
1480718206 11267026944 0 {'kernel': 15900000000L, 'idle': 8915170000000L, 'user': 89400000000L, 'iowait': 61690000000L}
1480718208 11267026944 0 {'kernel': 15900000000L, 'idle': 8917170000000L, 'user': 89400000000L, 'iowait': 61690000000L}
1480718210 11267026944 0 {'kernel': 15910000000L, 'idle': 8919170000000L, 'user': 89400000000L, 'iowait': 61690000000L}
1480718212 11267026944 0 {'kernel': 15910000000L, 'idle': 8921150000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718214 11267026944 0 {'kernel': 15910000000L, 'idle': 8923150000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718216 11267026944 0 {'kernel': 15910000000L, 'idle': 8925160000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718218 11267026944 0 {'kernel': 15910000000L, 'idle': 8927150000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718220 11267026944 0 {'kernel': 15910000000L, 'idle': 8929160000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718222 11267026944 0 {'kernel': 15910000000L, 'idle': 8931160000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718224 11267026944 0 {'kernel': 15910000000L, 'idle': 8933160000000L, 'user': 89410000000L, 'iowait': 61690000000L}
1480718226 11267026944 0 {'kernel': 15910000000L, 'idle': 8935160000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718228 11267026944 0 {'kernel': 15910000000L, 'idle': 8937160000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718230 11267026944 0 {'kernel': 15910000000L, 'idle': 8939160000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718232 11267026944 0 {'kernel': 15910000000L, 'idle': 8941160000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718234 11267026944 0 {'kernel': 15910000000L, 'idle': 8943160000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718236 11267026944 0 {'kernel': 15910000000L, 'idle': 8945150000000L, 'user': 89420000000L, 'iowait': 61690000000L}
1480718238 11266899968 0 {'kernel': 15910000000L, 'idle': 8947140000000L, 'user': 89430000000L, 'iowait': 61690000000L}
